account_id,occurred_at,channel
1001.0,2014-12-15 19:39:13,direct
1001.0,2015-01-13 07:44:49,direct
1001.0,2015-02-12 21:38:22,direct
1001.0,2015-03-13 22:13:37,direct
1001.0,2015-04-12 22:45:29,direct
1001.0,2015-05-12 15:28:52,direct
1001.0,2015-06-11 01:32:07,direct
1001.0,2015-07-10 14:54:01,direct
1001.0,2015-08-08 00:50:32,direct
1001.0,2015-09-07 22:05:49,direct
1001.0,2015-10-04 02:44:36,direct
1001.0,2015-11-02 03:12:59,direct
1001.0,2015-12-01 18:27:36,direct
1001.0,2015-12-31 14:28:50,direct
1001.0,2016-01-30 21:01:18,direct
1001.0,2016-02-28 01:37:40,direct
1001.0,2016-03-28 06:44:54,direct
1001.0,2016-04-27 18:40:12,direct
1001.0,2016-05-26 03:27:02,direct
1001.0,2016-06-25 08:11:06,direct
1001.0,2016-07-24 20:09:05,direct
1001.0,2016-08-23 12:04:15,direct
1001.0,2016-09-21 13:08:25,direct
1001.0,2016-10-20 00:18:09,direct
1001.0,2016-11-19 11:49:08,direct
1001.0,2016-12-18 01:31:20,direct
1011.0,2015-01-01 09:03:34,direct
1011.0,2015-01-31 19:51:54,direct
1011.0,2015-03-01 01:01:45,direct
1011.0,2015-03-31 07:20:07,direct
1011.0,2015-04-29 19:58:36,direct
1011.0,2015-05-29 11:38:17,direct
1011.0,2015-06-28 06:40:24,direct
1011.0,2015-07-27 11:32:42,direct
1011.0,2015-08-25 18:53:21,direct
1011.0,2015-09-24 12:07:50,direct
1011.0,2015-10-24 11:54:46,direct
1011.0,2015-11-23 10:59:41,direct
1011.0,2015-12-22 13:22:40,direct
1011.0,2016-01-20 17:48:06,direct
1011.0,2016-02-18 06:15:30,direct
1011.0,2016-03-19 00:09:21,direct
1011.0,2016-04-17 06:05:10,direct
1011.0,2016-05-17 12:31:14,direct
1011.0,2016-06-16 10:40:52,direct
1011.0,2016-07-16 04:54:39,direct
1011.0,2016-08-15 13:29:35,direct
1011.0,2016-09-14 12:21:44,direct
1011.0,2016-10-13 09:34:00,direct
1011.0,2016-11-12 22:37:25,direct
1011.0,2016-12-12 10:01:29,direct
1021.0,2014-12-17 20:32:18,direct
1021.0,2015-01-16 14:22:53,direct
1021.0,2015-02-15 16:14:52,direct
1021.0,2015-03-17 00:32:15,direct
1021.0,2015-04-15 13:12:07,direct
1021.0,2015-05-15 05:45:37,direct
1021.0,2015-06-13 14:59:19,direct
1021.0,2015-07-13 06:00:09,direct
1021.0,2015-08-12 09:13:21,direct
1021.0,2015-09-10 18:21:29,direct
1021.0,2015-10-09 23:55:07,direct
1021.0,2015-11-07 14:34:16,direct
1021.0,2015-12-07 06:08:09,direct
1031.0,2016-09-30 04:57:56,direct
1031.0,2016-10-30 20:30:48,direct
1031.0,2016-11-28 06:34:07,direct
1031.0,2016-12-28 14:46:04,direct
1041.0,2014-12-19 08:52:54,direct
1041.0,2015-01-17 18:42:23,direct
1041.0,2015-02-16 20:42:38,direct
1041.0,2015-03-18 20:18:43,direct
1041.0,2015-04-17 15:56:13,direct
1041.0,2015-05-16 08:26:26,direct
1041.0,2015-06-14 22:06:40,direct
1041.0,2015-07-13 08:29:54,direct
1041.0,2015-08-12 06:34:18,direct
1041.0,2015-09-11 09:20:49,direct
1041.0,2015-10-11 23:16:02,direct
1041.0,2015-11-09 15:21:39,direct
1041.0,2015-12-09 11:22:00,direct
1041.0,2016-01-08 23:35:51,direct
1041.0,2016-02-06 17:45:48,direct
1041.0,2016-03-07 12:27:11,direct
1041.0,2016-04-05 19:31:04,direct
1041.0,2016-05-05 17:09:12,direct
1041.0,2016-06-03 05:40:37,direct
1041.0,2016-07-03 19:09:00,direct
1051.0,2015-02-13 04:16:02,direct
1051.0,2015-03-14 05:56:56,direct
1051.0,2015-04-12 12:24:32,direct
1051.0,2015-05-11 07:23:49,direct
1051.0,2015-06-09 00:42:57,direct
